dataset,target_rows,format_jumlah,jumlah_baris,persentase

data 10.000
synthetic_orders_weighted_10000.csv,10000,angka saja (contoh: 3),9076,90.3
synthetic_orders_weighted_10000.csv,10000,angka + porsi (contoh: 3 porsi),0,0.0
synthetic_orders_weighted_10000.csv,10000,angka + pcs (contoh: 3 pcs),0,0.0
synthetic_orders_weighted_10000.csv,10000,angka + buah (contoh: 3 buah),0,0.0
synthetic_orders_weighted_10000.csv,10000,angka + bungkus,0,0.0

data 50.000
synthetic_orders_weighted_50000.csv,50000,angka saja (contoh: 3),45397,90.3
synthetic_orders_weighted_50000.csv,50000,angka + porsi (contoh: 3 porsi),0,0.0
synthetic_orders_weighted_50000.csv,50000,angka + pcs (contoh: 3 pcs),0,0.0
synthetic_orders_weighted_50000.csv,50000,angka + buah (contoh: 3 buah),0,0.0
synthetic_orders_weighted_50000.csv,50000,angka + bungkus,0,0.0

data 100.000
synthetic_orders_weighted_100000.csv,100000,angka saja (contoh: 3),90946,90.5
synthetic_orders_weighted_100000.csv,100000,angka + porsi (contoh: 3 porsi),0,0.0
synthetic_orders_weighted_100000.csv,100000,angka + pcs (contoh: 3 pcs),0,0.0
synthetic_orders_weighted_100000.csv,100000,angka + buah (contoh: 3 buah),0,0.0
synthetic_orders_weighted_100000.csv,100000,angka + bungkus,0,0.0
